home_ranking,away_ranking,ranking_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_total,is_neutral,result
100,100,0,0.7,0.3,0.39999999999999997,2.9,0.9,0.5,0.0,0.5,4,0,2
100,100,0,0.0,0.3,-0.3,0.3,1.0,0.0,0.0,1.0,1,1,0
100,100,0,0.8,0.5,0.30000000000000004,3.2,1.5,0.3815789473684211,0.2236842105263158,0.39473684210526316,76,0,1
100,100,0,0.3,0.4,-0.10000000000000003,1.2,0.9,0.5625,0.25,0.1875,16,0,2
100,100,0,0.6,0.4,0.19999999999999996,1.6,0.9,0.6666666666666666,0.16666666666666666,0.16666666666666666,6,1,2
100,100,0,0.4,0.6,-0.19999999999999996,1.3,1.9,0.46153846153846156,0.15384615384615385,0.38461538461538464,13,0,2
100,100,0,0.5,0.4,0.09999999999999998,1.8,1.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,7,1,2
100,100,0,0.4,0.3,0.10000000000000003,1.3,0.8,0.5882352941176471,0.23529411764705882,0.17647058823529413,17,0,2
100,100,0,0.5,0.5,0.0,1.6,1.8,0.5,0.14285714285714285,0.35714285714285715,14,0,1
100,100,0,0.0,0.4,-0.4,0.4,1.2,0.33,0.33,0.33,0,0,2
100,100,0,0.6,0.0,0.6,1.9,1.0,0.33,0.33,0.33,0,1,2
100,100,0,0.1,0.3,-0.19999999999999998,1.0,1.1,0.0,0.0,1.0,8,0,0
100,100,0,0.6,0.2,0.39999999999999997,2.2,0.8,0.65,0.2,0.15,20,1,2
100,100,0,0.0,0.1,-0.1,0.5,0.7,0.33,0.33,0.33,0,1,0
100,100,0,0.7,0.4,0.29999999999999993,3.0,1.3,0.38961038961038963,0.23376623376623376,0.37662337662337664,77,1,0
100,100,0,0.0,0.5,-0.5,0.6666666666666666,1.4,0.33,0.33,0.33,0,1,0
100,100,0,0.1,0.7,-0.6,1.0,2.9,0.0,0.08333333333333333,0.9166666666666666,12,0,1
100,100,0,0.1,0.5,-0.4,1.2,1.5,0.5,0.1,0.4,10,1,0
100,100,0,0.1,0.1,0.0,1.0,1.3,0.0,0.0,1.0,2,0,2
100,100,0,0.6,0.0,0.6,2.4,0.5,1.0,0.0,0.0,1,1,2
100,100,0,0.4,0.6,-0.19999999999999996,1.2,1.9,0.33,0.33,0.33,0,0,0
100,100,0,0.0,0.7,-0.7,0.6,2.3,0.0,0.0,1.0,1,1,0
100,100,0,0.0,0.0,0.0,0.0,0.5,0.33,0.33,0.33,0,0,2
100,100,0,0.6,0.8,-0.20000000000000007,2.8,3.2,0.3875,0.225,0.3875,80,1,2
100,100,0,0.5,0.7,-0.19999999999999996,1.5,2.9,0.33,0.33,0.33,0,0,0
100,100,0,0.2,0.2,0.0,1.6,1.0,0.46153846153846156,0.15384615384615385,0.38461538461538464,13,1,2
100,100,0,0.4,0.3333333333333333,0.06666666666666671,2.1,1.3333333333333333,1.0,0.0,0.0,1,0,2
100,100,0,0.4,0.3,0.10000000000000003,1.8,1.8,0.6666666666666666,0.19047619047619047,0.14285714285714285,21,0,2
100,100,0,0.25,0.2,0.04999999999999999,1.0,0.9,0.0,0.0,1.0,1,1,0
100,100,0,0.3,0.2,0.09999999999999998,1.8,1.0,0.33,0.33,0.33,0,1,2
100,100,0,0.4,0.2,0.2,1.6,1.1,0.38202247191011235,0.24719101123595505,0.3707865168539326,89,0,2
100,100,0,0.5,0.4,0.09999999999999998,2.3,2.3,1.0,0.0,0.0,1,1,0
100,100,0,0.1,0.5,-0.4,1.2,2.125,0.33,0.33,0.33,0,1,2
100,100,0,0.4,0.4,0.0,1.7,2.5,0.33,0.33,0.33,0,1,0
100,100,0,0.16666666666666666,0.5,-0.33333333333333337,0.8333333333333334,2.7,0.33,0.33,0.33,0,1,0
100,100,0,0.5,0.2,0.3,1.7,1.5,0.33,0.33,0.33,0,1,2
100,100,0,0.3,0.4444444444444444,-0.14444444444444443,2.4,2.0,1.0,0.0,0.0,1,1,2
100,100,0,0.0,0.5,-0.5,0.7142857142857143,2.6,0.33,0.33,0.33,0,1,0
100,100,0,0.4,0.5,-0.09999999999999998,2.2,2.4,0.33,0.33,0.33,0,1,0
100,100,0,0.2,0.14285714285714285,0.05714285714285716,1.0,0.8571428571428571,1.0,0.0,0.0,2,0,2
100,100,0,0.5,0.4,0.09999999999999998,1.7,1.8,0.33,0.33,0.33,0,1,2
100,100,0,0.4,0.2,0.2,2.7,1.4,0.33,0.33,0.33,0,1,2
100,100,0,0.5,0.4,0.09999999999999998,2.3,2.1,0.33,0.33,0.33,0,1,0
100,100,0,0.0,0.4,-0.4,0.625,1.8,0.33,0.33,0.33,0,1,0
100,100,0,0.3,0.6,-0.3,1.1,3.0,0.33,0.33,0.33,0,0,2
100,100,0,0.6,0.5,0.09999999999999998,2.1,2.7,0.8461538461538461,0.15384615384615385,0.0,13,1,2
100,100,0,0.6,0.6,0.0,2.2,2.7,1.0,0.0,0.0,1,1,2
100,100,0,0.4,0.5,-0.09999999999999998,1.3,2.7,1.0,0.0,0.0,1,0,2
100,100,0,0.5,0.7,-0.19999999999999996,1.9,2.7,0.3626373626373626,0.25274725274725274,0.38461538461538464,91,0,2
100,100,0,0.3,0.2,0.09999999999999998,2.3,0.9,0.8888888888888888,0.1111111111111111,0.0,9,0,2
100,100,0,0.3,0.3,0.0,1.1,2.7,0.0,0.0,1.0,1,0,0
